symbol,entry_date,exit_date,entry_price,exit_price,contracts,strike,expiry_date,entry_iv,hold_iv,pnl,reason,scenario,family,cost
GGLL,2024-09-23 09:30:00,2024-12-16 09:30:00,2.1244453559766328,10.511021728515622,2,36.13,2024-12-16 09:30:00,0.5234162947826723,0.5234162947826723,1677.315274507798,EXPIRY,risk_current_mature_tp800,GOOGL,424.88907119532655
METU,2024-09-23 09:30:00,2024-12-16 09:30:00,1.7982586969225505,2.4595344543457003,2,34.2,2024-12-16 09:30:00,0.4862859802916345,0.4862859802916345,132.25515148462995,EXPIRY,risk_current_mature_tp800,META,359.6517393845101
MSFU,2024-09-23 09:30:00,2024-12-16 09:30:00,1.4129197503691788,0.0,3,43.51,2024-12-16 09:30:00,0.3644034358739276,0.3644034358739276,-423.87592511075366,EXPIRY,risk_current_mature_tp800,MSFT,423.87592511075366
TSLT,2024-09-23 09:30:00,2024-12-16 09:30:00,3.212448414383707,28.912035729453365,1,19.07,2024-12-16 09:30:00,1.156257746163017,1.156257746163017,2569.9587315069657,TARGET,risk_current_mature_tp800,TSLA,321.2448414383707
AAPU,2024-09-30 09:30:00,2024-12-23 09:30:00,1.6843062382655045,2.157204132080075,2,33.52,2024-12-23 09:30:00,0.47281409750589715,0.47281409750589715,94.5795787629141,EXPIRY,risk_current_mature_tp800,AAPL,336.8612476531009
AMZU,2024-09-30 09:30:00,2024-12-23 09:30:00,2.038404331770286,8.65266647338867,2,32.6,2024-12-23 09:30:00,0.5456617810692919,0.5456617810692919,1322.852428323677,EXPIRY,risk_current_mature_tp800,AMZN,407.6808663540572
TSLT,2024-09-30 09:30:00,2024-12-16 09:30:00,3.2210571474437515,28.989514326993763,1,20.81,2024-12-23 09:30:00,1.0775918733740601,1.0775918733740601,2576.8457179550014,TARGET,risk_current_mature_tp800,TSLA,322.1057147443752
NFXL,2024-10-03 09:30:00,2024-12-26 09:30:00,2.6713555877046993,12.083575897216797,1,25.07,2024-12-26 09:30:00,0.8,0.8,941.2220309512097,EXPIRY,risk_current_mature_tp800,NFLX,267.1355587704699
NFXL,2024-10-07 09:30:00,2024-12-30 09:30:00,2.626375295923152,10.458707885742186,1,24.67,2024-12-30 09:30:00,0.8,0.8,783.2332589819034,EXPIRY,risk_current_mature_tp800,NFLX,262.6375295923152
TSLT,2024-10-07 09:30:00,2024-12-09 09:30:00,2.264469898971151,20.380229090740357,2,17.5,2024-12-30 09:30:00,0.9315379058750188,0.9315379058750188,3623.1518383538414,TARGET,risk_current_mature_tp800,TSLA,452.8939797942302
AAPU,2024-10-14 09:30:00,2025-01-06 09:30:00,1.758018258736989,0.0,2,32.84,2025-01-06 09:30:00,0.4922700276416473,0.4922700276416473,-351.6036517473978,EXPIRY,risk_current_mature_tp800,AAPL,351.6036517473978
GGLL,2024-10-14 09:30:00,2024-12-11 09:30:00,0.9105171296660153,8.194654166994138,5,37.33,2025-01-06 09:30:00,0.3126088923736132,0.3126088923736132,3642.0685186640612,TARGET,risk_current_mature_tp800,GOOGL,455.25856483300765
NFXL,2024-10-14 09:30:00,2025-01-06 09:30:00,2.727281566716794,8.099002990722656,1,25.59,2025-01-06 09:30:00,0.8,0.8,537.1721424005863,EXPIRY,risk_current_mature_tp800,NFLX,272.7281566716794
METU,2024-10-21 09:30:00,2025-01-13 09:30:00,1.0448792732845789,0.0,4,35.2,2025-01-13 09:30:00,0.3467215617941436,0.3467215617941436,-417.95170931383154,EXPIRY,risk_current_mature_tp800,META,417.95170931383154
NFXL,2024-10-21 09:30:00,2025-01-13 09:30:00,3.12979672824334,1.065217819213867,1,29.41,2025-01-13 09:30:00,0.8,0.8,-206.4578909029473,EXPIRY,risk_current_mature_tp800,NFLX,312.979672824334
AMZU,2024-12-09 09:30:00,2025-03-03 09:30:00,3.2875267021831025,0.0,1,46.18,2025-03-03 09:30:00,0.5961442122123045,0.5961442122123045,-328.75267021831024,EXPIRY,risk_current_mature_tp800,AMZN,328.75267021831024
MSFU,2024-12-09 09:30:00,2025-03-03 09:30:00,1.3595654408202371,0.0,3,44.87,2025-03-03 09:30:00,0.3507032435828957,0.3507032435828957,-407.8696322460711,EXPIRY,risk_current_mature_tp800,MSFT,407.8696322460711
PLTU,2024-12-11 09:30:00,2025-02-07 09:30:00,2.468809961094485,22.219289649850367,2,23.18,2025-03-05 09:30:00,0.8,0.8,3950.0959377511763,TARGET,risk_current_mature_tp800,PLTR,493.76199221889703
AMZU,2024-12-16 09:30:00,2025-03-10 09:30:00,2.599254700870997,0.0,1,48.85,2025-03-10 09:30:00,0.49017402911353,0.49017402911353,-259.9254700870997,EXPIRY,risk_current_mature_tp800,AMZN,259.9254700870997
MSFU,2024-12-16 09:30:00,2025-03-10 09:30:00,0.8406208301680849,0.0,5,45.92,2025-03-10 09:30:00,0.2716512182717967,0.2716512182717967,-420.31041508404246,EXPIRY,risk_current_mature_tp800,MSFT,420.31041508404246
PLTU,2024-12-16 09:30:00,2025-02-11 09:30:00,2.675144040641486,24.076296365773374,1,25.14,2025-03-10 09:30:00,0.8,0.8,2140.115232513189,TARGET,risk_current_mature_tp800,PLTR,267.5144040641486
AMZU,2024-12-23 09:30:00,2025-03-17 09:30:00,3.075268586331937,0.0,1,45.38,2025-03-17 09:30:00,0.5761122058271241,0.5761122058271241,-307.5268586331937,EXPIRY,risk_current_mature_tp800,AMZN,307.5268586331937
MSFU,2024-12-23 09:30:00,2025-03-17 09:30:00,1.604597671083706,0.0,3,42.51,2025-03-17 09:30:00,0.3967606934727949,0.3967606934727949,-481.37930132511184,EXPIRY,risk_current_mature_tp800,MSFT,481.37930132511184
PLTU,2024-12-23 09:30:00,2025-02-18 09:30:00,3.000023129446232,27.00020816501609,1,28.16,2025-03-17 09:30:00,0.8,0.8,2400.0185035569857,TARGET,risk_current_mature_tp800,PLTR,300.0023129446232
