symbol,entry_date,exit_date,entry_price,exit_price,contracts,strike,expiry_date,entry_iv,hold_iv,pnl,reason,scenario,family,cost
ROM,2025-06-09 09:30:00,2025-08-29 09:30:00,3.342987619671181,5.570350646972656,1,75.0,2025-09-01 09:30:00,0.4386295450451174,0.4386295450451174,222.73630273014754,max_positions,risk_unseen_recent_tp500,technology,334.2987619671181
RXL,2025-06-09 09:30:00,2025-08-29 09:30:00,1.8594516407042203,0.0,2,43.46,2025-09-01 09:30:00,0.42759477950389807,0.42759477950389807,-371.8903281408441,max_positions,risk_unseen_recent_tp500,healthcare,371.8903281408441
SSO,2025-06-09 09:30:00,2025-08-29 09:30:00,1.3348858041451805,2.1118534851074244,3,50.12,2025-09-01 09:30:00,0.32706148761393217,0.32706148761393217,233.09030428867317,max_positions,risk_unseen_recent_tp500,broad_market,400.46574124355413
UCC,2025-06-09 09:30:00,2025-08-29 09:30:00,2.6998827442566835,2.3622457885742207,1,47.51,2025-09-01 09:30:00,0.5115450776208927,0.5115450776208927,-33.76369556824628,max_positions,risk_unseen_recent_tp500,consumer_discretionary,269.98827442566835
USD,2025-06-09 09:30:00,2025-08-29 09:30:00,2.795603404801433,8.552778778076174,1,33.44,2025-09-01 09:30:00,0.667762040561537,0.667762040561537,575.7175373274741,max_positions,risk_unseen_recent_tp500,semiconductors,279.5603404801433
DDM,2025-06-16 09:30:00,2025-09-08 09:30:00,0.8845025647546993,1.5924665832519551,5,49.76,2025-09-08 09:30:00,0.2676613106719544,0.2676613106719544,353.98200924862795,max_positions,risk_unseen_recent_tp500,dow_30,442.25128237734964
DIG,2025-06-16 09:30:00,2025-09-08 09:30:00,1.3436936184165038,0.0,3,38.02,2025-09-08 09:30:00,0.38198745776456,0.38198745776456,-403.1080855249511,max_positions,risk_unseen_recent_tp500,energy,403.1080855249511
MVV,2025-06-16 09:30:00,2025-09-08 09:30:00,1.8171278468607284,3.646258239746089,2,66.62,2025-09-08 09:30:00,0.3312797850183329,0.3312797850183329,365.82607857707217,max_positions,risk_unseen_recent_tp500,midcap_400,363.4255693721457
QLD,2025-06-16 09:30:00,2025-09-08 09:30:00,1.2361350753449951,3.1445425415039168,4,60.66,2025-09-08 09:30:00,0.2858360866297708,0.2858360866297708,763.3629864635686,max_positions,risk_unseen_recent_tp500,nasdaq_100,494.4540301379981
ROM,2025-06-16 09:30:00,2025-09-08 09:30:00,2.1155112255356734,4.918989868164061,2,77.03,2025-09-08 09:30:00,0.33249793523073484,0.33249793523073484,560.6957285256776,max_positions,risk_unseen_recent_tp500,technology,423.10224510713465
RXL,2025-06-16 09:30:00,2025-09-08 09:30:00,0.710568762021202,0.0,7,44.34,2025-09-08 09:30:00,0.25559486369236717,0.25559486369236717,-497.3981334148415,max_positions,risk_unseen_recent_tp500,healthcare,497.3981334148415
SSO,2025-06-16 09:30:00,2025-09-08 09:30:00,0.8433931059309554,2.1876734924316423,5,50.58,2025-09-08 09:30:00,0.26013734702698993,0.26013734702698993,672.1401932503434,max_positions,risk_unseen_recent_tp500,broad_market,421.69655296547774
UCC,2025-06-16 09:30:00,2025-09-08 09:30:00,1.7127548850044967,4.229981689453126,2,47.47,2025-09-08 09:30:00,0.3866738120513477,0.3866738120513477,503.44536088972586,max_positions,risk_unseen_recent_tp500,consumer_discretionary,342.55097700089937
USD,2025-06-16 09:30:00,2025-08-13 09:30:00,1.9118588318235847,11.471152990941508,2,34.86,2025-09-08 09:30:00,0.5000975000030211,0.5000975000030211,1911.8588318235848,max_positions,risk_unseen_recent_tp500,semiconductors,382.37176636471696
DDM,2025-06-23 09:30:00,2025-09-15 09:30:00,0.7609794490643029,2.3434411621093716,6,49.84,2025-09-15 09:30:00,0.25,0.25,949.4770278270412,symbol_cap,risk_unseen_recent_tp500,dow_30,456.5876694385817
MVV,2025-06-23 09:30:00,2025-09-15 09:30:00,1.3374247331041733,2.4317739868164097,3,67.16,2025-09-15 09:30:00,0.2824909476307293,0.2824909476307293,328.3047761136709,symbol_cap,risk_unseen_recent_tp500,midcap_400,401.227419931252
