fold,train_start,train_end_purged,test_start,test_end,embargo_days,strike_otm_pct,dte_days,tp_pct,train_profit,train_profit_on_premium_pct,test_profit,test_premium,test_profit_on_premium_pct,test_trades,test_win_rate_pct
2018_2019,2010-01-01,2017-10-09,2018-01-01,2019-12-31,84,7.5,112,500.0,403388.7430862273,35.763036628854636,-60657.44649647185,209920.0940659511,-28.895493195336964,462,24.675324675324674
2018_2019,2010-01-01,2017-10-09,2018-01-01,2019-12-31,84,7.5,112,700.0,390130.47748371953,34.5876051213963,-69161.90512781018,209920.0940659511,-32.94677693221757,462,24.242424242424242
2018_2019,2010-01-01,2017-10-09,2018-01-01,2019-12-31,84,10.0,56,300.0,-118711.39163543585,-13.723750306332997,-20969.689869971815,220533.087544079,-9.508636596665117,458,25.54585152838428
2018_2019,2010-01-01,2017-10-09,2018-01-01,2019-12-31,84,10.0,56,500.0,-120121.98377705301,-13.894801952531804,-30266.79808003214,220533.087544079,-13.724379600853576,458,21.17903930131004
2018_2019,2010-01-01,2017-10-09,2018-01-01,2019-12-31,84,10.0,56,700.0,-131397.2671848755,-15.199041401333593,-22614.299108451505,220533.087544079,-10.254379222769225,458,20.74235807860262
2018_2019,2010-01-01,2017-10-09,2018-01-01,2019-12-31,84,10.0,84,300.0,93808.73450917438,9.132069680305117,-40656.36543404792,206430.27781138857,-19.69496232098029,438,22.831050228310502
2018_2019,2010-01-01,2017-10-09,2018-01-01,2019-12-31,84,10.0,84,500.0,123040.7376827799,11.97773955606875,-53465.91375804187,206430.27781138857,-25.90022855411388,438,18.493150684931507
2018_2019,2010-01-01,2017-10-09,2018-01-01,2019-12-31,84,10.0,84,700.0,128202.67593822614,12.480242655388968,-66718.17809114131,206430.27781138857,-32.31995751713343,438,16.666666666666664
2018_2019,2010-01-01,2017-10-09,2018-01-01,2019-12-31,84,10.0,112,300.0,240931.9379058439,21.74258150240221,-55300.02062193866,206994.98091302073,-26.71563357624392,448,23.883928571428573
2018_2019,2010-01-01,2017-10-09,2018-01-01,2019-12-31,84,10.0,112,500.0,320488.74996034836,28.92207993337549,-79372.62371971917,206994.98091302073,-38.34519241462745,448,20.089285714285715
2018_2019,2010-01-01,2017-10-09,2018-01-01,2019-12-31,84,10.0,112,700.0,338655.6316512774,30.561525949718444,-85914.90986438583,206994.98091302073,-41.50579375665503,448,19.642857142857142
